name_fr,name_eng
Afghanistan,Afghanistan
Albanie,Albania
Algérie,Algeria
Andorre,Andorra
Angola,Angola
Antigua-et-Barbuda,Antigua and Barbuda
Argentine,Argentina
Arménie,Armenia
Australie,Australia
Autriche,Austria
Azerbaïdjan,Azerbaijan
Bahamas,Bahamas
Bahreïn,Bahrain
Bangladesh,Bangladesh
Barbade,Barbados
Bélarus,Belarus
Belgique,Belgium
Belize,Belize
Bénin,Benin
Bhoutan,Bhutan
Bolivie (État plurinational de),Bolivia
Bosnie-Herzégovine,Bosnia and Herz.
Botswana,Botswana
Brésil,Brazil
Brunei,Brunei
Bulgarie,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodge,Cambodia
Cameroun,Cameroon
Canada,Canada
République centrafricaine,Central African Rep.
Tchad,Chad
Chili,Chile
"Chine, continentale",China
Colombie,Colombia
Comores (pays),Comoros
Congo,Congo
Costa Rica,Costa Rica
Côte d'Ivoire,Côte d'Ivoire
Croatie,Croatia
Cuba,Cuba
Chypre,Cyprus
Tchéquie,Czechia
République démocratique du Congo,Dem. Rep. Congo
Danemark,Denmark
Djibouti,Djibouti
Dominique,Dominica
République dominicaine,Dominican Rep.
Équateur,Ecuador
Égypte,Egypt
El Salvador,El Salvador
Guinée équatoriale,Eq. Guinea
Érythrée,Eritrea
Estonie,Estonia
Eswatini,eSwatini
Éthiopie,Ethiopia
Fidji,Fiji
Finlande,Finland
France,France
Polynésie française,French Polynesia
Gabon,Gabon
Gambie,Gambia
Géorgie,Georgia
Allemagne,Germany
Ghana,Ghana
Grèce,Greece
Grenade,Grenada
Guatemala,Guatemala
Guinée,Guinea
Guinée-Bissau,Guinea-Bissau
Guyana,Guyana
Haïti,Haiti
Honduras,Honduras
Chine - RAS de Hong-Kong,"Hong Kong, China"
Hongrie,Hungary
Islande,Iceland
Inde,India
Indonésie,Indonesia
Iran (République islamique d'),Iran
Iraq,Iraq
Irlande,Ireland
Israël,Israel
Italie,Italy
Jamaïque,Jamaica
Japon,Japan
Jordanie,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Koweït,Kuwait
Kirghizistan,Kyrgyzstan
République démocratique populaire lao,Laos
Lettonie,Latvia
Liban,Lebanon
Lesotho,Lesotho
Libéria,Liberia
Libye,Libya
Liechtenstein,Liechtenstein
Lituanie,Lithuania
Luxembourg,Luxembourg
Chine - RAS de Macao,Macao
Macédoine du Nord,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaisie,Malaysia
Maldives,Maldives
Mali,Mali
Malte,Malta
Îles Marshall (pays),Marshall Islands
Mauritanie,Mauritania
Maurice,Mauritius
Mexique,Mexico
États fédérés de Micronésie (pays),Micronesia (Federated States of)
République de Moldova,Moldova
Monaco,Monaco
Mongolie,Mongolia
Monténégro,Montenegro
Maroc,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibie,Namibia
Nauru,Nauru
Népal,Nepal
Pays-Bas,Netherlands
Nouvelle-Calédonie,New Caledonia
Nouvelle-Zélande,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigéria,Nigeria
République populaire démocratique de Corée,North Korea
Norvège,Norway
Oman,Oman
Pakistan,Pakistan
Palaos,Palau
Panama,Panama
Papouasie-Nouvelle-Guinée,Papua New Guinea
Paraguay,Paraguay
Pérou,Peru
Philippines,Philippines
Pologne,Poland
Portugal,Portugal
Qatar,Qatar
Roumanie,Romania
Fédération de Russie,Russia
Rwanda,Rwanda
Soudan du Sud,S. Sudan
Saint-Kitts-et-Nevis,Saint Kitts and Nevis
Sainte-Lucie,Saint Lucia
Saint-Vincent-et-les Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Saint-Marin,San Marino
Sao Tomé-et-Principe,Sao Tome and Principe
Arabie saoudite,Saudi Arabia
Sénégal,Senegal
Serbie,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapour,Singapore
Slovaquie,Slovakia
Slovénie,Slovenia
Îles Salomon,Solomon Is.
Somalie,Somalia
Afrique du Sud,South Africa
République de Corée,South Korea
Espagne,Spain
Sri Lanka,Sri Lanka
Soudan,Sudan
Suriname,Suriname
Suède,Sweden
Suisse,Switzerland
Syrie,Syrian Arab Republic
"Chine, Taiwan Province de",Taiwan
Tadjikistan,Tajikistan
République-Unie de Tanzanie,Tanzania
Thaïlande,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinité-et-Tobago,Trinidad and Tobago
Tunisie,Tunisia
Turquie,Turkey
Turkménistan,Turkmenistan
Tuvalu,Tuvalu
Ouganda,Uganda
Ukraine,Ukraine
Émirats arabes unis,United Arab Emirates
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,United Kingdom
États-Unis d'Amérique,United States of America
Uruguay,Uruguay
Ouzbékistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (République bolivarienne du),Venezuela
Viet Nam,Vietnam
Yémen,Yemen
Zambie,Zambia
Zimbabwe,Zimbabwe
